OrderID,CustomerID,OrderValue,OrderDate
30001,850747,4956.46,2019-11-13
30002,609290,2652.8,2019-11-13
30003,479252,3678.28,2019-11-13
30004,320524,1555.78,2019-11-13
30005,151892,1824.92,2019-11-13
30006,663281,261.92,2019-11-13
30007,164026,469.39,2019-11-13
30008,998695,290.29,2019-11-13
30009,496245,4049.17,2019-11-13
30010,841590,3139.75,2019-11-13
30011,750306,167.75,2019-11-13
30012,755469,2027.99,2019-11-13
30013,797047,4507.09,2019-11-13
30014,187725,4541.41,2019-11-13
30015,881274,2245.37,2019-11-13
30016,976734,2235.25,2019-11-13
30017,422213,3832.77,2019-11-13
30018,773194,3552.4,2019-11-13
30019,579415,1172.25,2019-11-13
30020,813718,4107.78,2019-11-13
30021,204585,946.04,2019-11-13
30022,598978,4681.94,2019-11-13
30023,398074,141.79,2019-11-13
30024,210057,4596.74,2019-11-13
30025,236690,4831.04,2019-11-13
30026,341001,3924.42,2019-11-13
30027,202883,3221.48,2019-11-13
30028,763333,3809.53,2019-11-13
30029,380319,2017.76,2019-11-13
30030,316235,408.74,2019-11-13
30031,668670,3259.38,2019-11-13
30032,719115,2726.68,2019-11-13
30033,115577,4592.51,2019-11-13
30034,421065,3373.45,2019-11-13
30035,789834,2525.37,2019-11-13
30036,688772,2831.37,2019-11-13
30037,933573,204.86,2019-11-13
30038,956624,1527.93,2019-11-13
30039,590702,823.61,2019-11-13
30040,447924,4273.26,2019-11-13
30041,833459,4301.37,2019-11-13
30042,834411,1360.71,2019-11-13
30043,874044,408.23,2019-11-13
30044,518034,3812.32,2019-11-13
30045,710264,2178.35,2019-11-13
30046,317754,2575.14,2019-11-13
30047,914680,2342.45,2019-11-13
30048,634295,1549.23,2019-11-13
30049,559434,2947.82,2019-11-13
30050,732656,4383.56,2019-11-13
30051,119342,1565.33,2019-11-13
30052,670006,4752.39,2019-11-13
30053,530712,3685.28,2019-11-13
30054,785752,4367.77,2019-11-13
30055,946912,210.22,2019-11-13
30056,813677,4375.04,2019-11-13
30057,383562,1442.26,2019-11-13
30058,264393,4423.08,2019-11-13
30059,147931,2294.33,2019-11-13
30060,320377,2787.82,2019-11-13
30061,599071,949.4,2019-11-13
30062,355854,506.99,2019-11-13
30063,856786,3167.72,2019-11-13
30064,354703,1489.22,2019-11-13
30065,457216,4318.73,2019-11-13
30066,609171,3098.0,2019-11-13
30067,484147,435.26,2019-11-13
30068,163740,2540.6,2019-11-13
30069,546122,3015.62,2019-11-13
30070,737953,383.06,2019-11-13
30071,823460,4418.23,2019-11-13
30072,379717,3611.07,2019-11-13
30073,369766,1683.61,2019-11-13
30074,692657,3456.31,2019-11-13
30075,959794,3703.53,2019-11-13
30076,785202,31.18,2019-11-13
30077,463897,3304.02,2019-11-13
30078,656837,3073.32,2019-11-13
30079,110594,2674.44,2019-11-13
30080,867352,4445.11,2019-11-13
30081,215316,968.26,2019-11-13
30082,905082,1413.99,2019-11-13
30083,863352,4289.7,2019-11-13
30084,705826,4901.99,2019-11-13
30085,495047,1788.82,2019-11-13
30086,572316,1759.19,2019-11-13
30087,828215,4251.87,2019-11-13
30088,937977,104.37,2019-11-13
30089,374690,2080.39,2019-11-13
30090,894756,1498.59,2019-11-13
30091,342698,3729.78,2019-11-13
30092,766833,3496.84,2019-11-13
30093,567113,1889.62,2019-11-13
30094,601701,1404.81,2019-11-13
30095,560411,4117.71,2019-11-13
30096,820487,423.09,2019-11-13
30097,912699,2152.09,2019-11-13
30098,210215,2671.55,2019-11-13
30099,266622,4041.07,2019-11-13
30100,749863,4957.39,2019-11-13
30101,278083,3552.24,2019-11-13
30102,589478,4864.11,2019-11-13
30103,154570,2043.74,2019-11-13
30104,680834,1176.69,2019-11-13
30105,344386,1626.03,2019-11-13
30106,633176,388.69,2019-11-13
30107,569952,2955.01,2019-11-13
30108,101746,4443.54,2019-11-13
30109,422780,1910.85,2019-11-13
30110,418715,2920.84,2019-11-13
30111,861792,42.32,2019-11-13
30112,751382,4978.29,2019-11-13
30113,830350,2179.24,2019-11-13
30114,130562,3194.08,2019-11-13
30115,327769,4928.0,2019-11-13
30116,295159,4620.92,2019-11-13
30117,250711,3207.69,2019-11-13
