MasterID,ChildID,ChildName
259,90001,Short
704,90002,Tree
9,90003,Approach
825,90004,Tonight
874,90005,Five
266,90006,Language
435,90007,Stand
470,90008,Else
597,90009,Experience
360,90010,Give
496,90011,Card
858,90012,Ability
762,90013,Clearly
714,90014,Mention
463,90015,Pattern
340,90016,Factor
283,90017,Yes
632,90018,Born
104,90019,Imagine
805,90020,Year
619,90021,Force
206,90022,Movement
296,90023,Third
884,90024,Cost
951,90025,Store
839,90026,Recently
407,90027,Floor
41,90028,Accept
539,90029,Strategy
675,90030,Sing
679,90031,Street
815,90032,Animal
665,90033,Everybody
241,90034,Present
575,90035,Think
99,90036,Wrong
704,90037,Floor
510,90038,Despite
94,90039,Back
164,90040,Class
189,90041,The
581,90042,Individual
265,90043,Fly
358,90044,Kind
679,90045,Leg
411,90046,Seat
47,90047,Feeling
75,90048,Recognize
667,90049,Of
747,90050,Agree
479,90051,Social
271,90052,Least
121,90053,Mission
440,90054,Leave
486,90055,Car
402,90056,While
302,90057,Activity
169,90058,Notice
728,90059,There
484,90060,Away
628,90061,Produce
999,90062,Pull
687,90063,Piece
922,90064,Make
609,90065,Hour
522,90066,Month
661,90067,Father
268,90068,Professor
108,90069,Car
625,90070,Speak
924,90071,Policy
555,90072,Hope
118,90073,Assume
841,90074,Democrat
946,90075,Say
713,90076,Food
209,90077,Approach
240,90078,Center
632,90079,All
894,90080,Hear
19,90081,Manager
77,90082,Population
411,90083,Major
228,90084,Country
415,90085,Clear
470,90086,Woman
795,90087,View
779,90088,Down
635,90089,Government
385,90090,Indicate
10,90091,Feel
971,90092,Party
344,90093,Poor
632,90094,Billion
616,90095,Paper
504,90096,And
997,90097,Expect
802,90098,Bit
164,90099,Position
651,90100,Capital
709,90101,Already
587,90102,Throughout
834,90103,Job
183,90104,Pressure
804,90105,Here
505,90106,There
613,90107,Affect
317,90108,Race
878,90109,Sell
152,90110,Matter
533,90111,Especially
166,90112,Source
270,90113,Outside
322,90114,Past
254,90115,Scientist
457,90116,Find
642,90117,Difficult
887,90118,Fight
810,90119,Population
960,90120,Way
214,90121,Young
822,90122,After
978,90123,Control
885,90124,List
638,90125,Rule
64,90126,Ask
824,90127,Decide
236,90128,Both
483,90129,Line
22,90130,Much
407,90131,Remain
451,90132,Agent
703,90133,Common
820,90134,Writer
858,90135,Anything
919,90136,Reality
574,90137,Professional
477,90138,Training
8,90139,Above
153,90140,Turn
749,90141,Much
50,90142,Mention
449,90143,Enter
365,90144,Imagine
106,90145,Pull
24,90146,Indicate
684,90147,Lay
630,90148,Participant
999,90149,Oil
451,90150,Attention
430,90151,Figure
85,90152,Economic
828,90153,Like
651,90154,Phone
360,90155,Nor
457,90156,Nice
536,90157,Camera
544,90158,Piece
301,90159,Rate
570,90160,Section
842,90161,Garden
444,90162,Happen
655,90163,Up
851,90164,Parent
33,90165,Probably
615,90166,Practice
722,90167,Not
466,90168,Beat
648,90169,Player
126,90170,Happen
450,90171,Others
584,90172,Prove
948,90173,Worry
312,90174,Help
176,90175,Increase
745,90176,She
132,90177,Family
50,90178,Direction
555,90179,Form
325,90180,Own
183,90181,Walk
330,90182,Example
690,90183,Example
165,90184,Although
286,90185,Together
245,90186,Television
274,90187,Black
635,90188,Personal
746,90189,Firm
688,90190,Minute
666,90191,Care
392,90192,Push
384,90193,Scene
385,90194,Song
781,90195,Together
676,90196,Scene
643,90197,Little
871,90198,Above
766,90199,Respond
255,90200,Customer
966,90201,Build
678,90202,Election
414,90203,System
209,90204,Her
186,90205,Coach
167,90206,Room
767,90207,Behavior
702,90208,Chance
113,90209,Course
926,90210,Subject
392,90211,Whatever
108,90212,Under
222,90213,Thus
604,90214,None
179,90215,May
933,90216,Affect
562,90217,Local
853,90218,Key
742,90219,Lose
461,90220,Nature
161,90221,Front
198,90222,Write
261,90223,Deep
884,90224,Decision
950,90225,Certain
316,90226,Its
84,90227,Natural
354,90228,Available
244,90229,Later
217,90230,Western
614,90231,Fly
699,90232,Girl
928,90233,Model
650,90234,Mention
820,90235,Apply
242,90236,Director
641,90237,Marriage
360,90238,Drive
677,90239,Start
858,90240,Law
182,90241,Sometimes
379,90242,Quickly
599,90243,Catch
612,90244,Security
429,90245,Reflect
909,90246,Improve
445,90247,Follow
186,90248,Provide
4,90249,Enough
932,90250,Party
175,90251,Perform
252,90252,Purpose
398,90253,Bill
933,90254,Participant
955,90255,Growth
599,90256,Glass
12,90257,Exactly
336,90258,Course
625,90259,Resource
306,90260,Give
591,90261,Director
733,90262,Walk
989,90263,Pick
493,90264,Almost
111,90265,Many
563,90266,Majority
245,90267,As
856,90268,Tend
556,90269,Lay
257,90270,Month
838,90271,Score
816,90272,Respond
214,90273,Find
523,90274,Meeting
608,90275,Surface
254,90276,Scientist
929,90277,Inside
596,90278,Scientist
625,90279,Share
193,90280,Leave
533,90281,Who
685,90282,Door
572,90283,Join
890,90284,Reason
286,90285,Democrat
424,90286,Trip
339,90287,Year
959,90288,Size
540,90289,Because
70,90290,Model
358,90291,Activity
203,90292,Town
654,90293,Worker
173,90294,Turn
419,90295,Fear
735,90296,Star
374,90297,Generation
837,90298,Glass
507,90299,Lot
739,90300,Sometimes
751,90301,Sometimes
265,90302,Economic
906,90303,Evening
911,90304,Congress
413,90305,Forget
149,90306,Place
626,90307,Reflect
903,90308,Where
467,90309,Provide
981,90310,Simple
416,90311,Left
870,90312,More
469,90313,Feeling
973,90314,Allow
960,90315,Television
559,90316,Level
894,90317,Address
504,90318,Act
852,90319,Democratic
160,90320,Serve
813,90321,Five
801,90322,Perhaps
717,90323,Learn
320,90324,World
83,90325,Company
972,90326,Since
290,90327,Result
179,90328,Management
356,90329,Surface
666,90330,Discuss
880,90331,Develop
84,90332,Dinner
741,90333,Benefit
338,90334,Mr
157,90335,Even
867,90336,Soon
451,90337,Name
793,90338,Reveal
46,90339,Community
8,90340,West
123,90341,Improve
792,90342,Take
297,90343,Issue
919,90344,On
824,90345,Investment
169,90346,When
146,90347,Fight
362,90348,Blood
249,90349,Reduce
475,90350,Measure
483,90351,Form
232,90352,Father
620,90353,Up
231,90354,Example
529,90355,Drug
514,90356,Movie
946,90357,Thought
493,90358,Almost
143,90359,Growth
980,90360,Interest
402,90361,Seek
937,90362,Seven
321,90363,Test
24,90364,Site
981,90365,Learn
458,90366,Each
68,90367,Decide
198,90368,Hand
708,90369,Use
665,90370,Plant
991,90371,Information
296,90372,Behind
772,90373,Station
370,90374,Medical
811,90375,Pretty
394,90376,Improve
676,90377,Eight
947,90378,Administration
330,90379,Happy
643,90380,Sound
224,90381,Strategy
365,90382,Your
26,90383,Hear
454,90384,War
194,90385,Talk
215,90386,Administration
811,90387,Break
941,90388,Happen
67,90389,Either
347,90390,Himself
34,90391,Forget
654,90392,Church
571,90393,Medical
357,90394,Technology
211,90395,Expect
293,90396,Scientist
636,90397,Despite
655,90398,Modern
669,90399,Difficult
711,90400,Toward
554,90401,West
213,90402,Write
5,90403,Race
734,90404,Loss
466,90405,Hit
347,90406,Third
997,90407,Network
676,90408,Relate
533,90409,Pay
613,90410,Indeed
744,90411,Bed
609,90412,Until
883,90413,Kitchen
600,90414,From
741,90415,Southern
625,90416,Congress
572,90417,You
285,90418,Little
64,90419,Sit
340,90420,Purpose
337,90421,American
37,90422,When
688,90423,Best
810,90424,Well
808,90425,Than
569,90426,Easy
890,90427,Rule
306,90428,Thousand
919,90429,Must
164,90430,Seek
198,90431,Sea
947,90432,Yard
582,90433,Federal
721,90434,News
115,90435,Help
621,90436,Less
170,90437,Computer
609,90438,Day
705,90439,Including
456,90440,Vote
396,90441,Field
344,90442,Others
863,90443,Month
570,90444,East
641,90445,They
554,90446,Company
201,90447,International
315,90448,Since
231,90449,Quickly
551,90450,Morning
5,90451,Again
326,90452,End
680,90453,Know
106,90454,Continue
700,90455,Above
626,90456,What
583,90457,Just
576,90458,Would
477,90459,Agent
708,90460,Agency
517,90461,Meeting
422,90462,Ok
615,90463,Forward
613,90464,Sometimes
511,90465,Response
779,90466,Interest
481,90467,Himself
486,90468,Cell
777,90469,Quality
900,90470,Lay
806,90471,Pay
972,90472,When
322,90473,Change
949,90474,Walk
172,90475,Discussion
677,90476,Perhaps
122,90477,Maybe
620,90478,Edge
3,90479,Language
753,90480,Thing
134,90481,Option
728,90482,Special
107,90483,Begin
424,90484,Collection
183,90485,First
305,90486,Cup
36,90487,Economy
469,90488,Appear
244,90489,Skin
605,90490,Weight
18,90491,Single
897,90492,Result
342,90493,Without
693,90494,Certain
730,90495,Tree
229,90496,Produce
178,90497,He
642,90498,Example
854,90499,Generation
368,90500,My
611,90501,Challenge
602,90502,Now
364,90503,Standard
977,90504,Must
270,90505,Main
656,90506,But
848,90507,Well
497,90508,Article
672,90509,Research
706,90510,Participant
511,90511,Research
463,90512,Happy
519,90513,Glass
172,90514,Responsibility
889,90515,Wear
902,90516,Owner
319,90517,Develop
616,90518,Want
779,90519,Determine
459,90520,Score
957,90521,Old
632,90522,Everybody
79,90523,Respond
720,90524,Thing
58,90525,Together
690,90526,Choice
63,90527,Break
827,90528,Our
722,90529,Traditional
5,90530,Tend
665,90531,Trade
190,90532,Do
713,90533,Clear
443,90534,Defense
556,90535,Wait
733,90536,Fly
568,90537,All
315,90538,Network
415,90539,Space
332,90540,Citizen
326,90541,Ready
631,90542,Film
547,90543,Course
639,90544,Training
98,90545,Ten
589,90546,Say
571,90547,The
79,90548,Argue
785,90549,Long
670,90550,Check
952,90551,Difficult
330,90552,Long
311,90553,Quality
881,90554,Step
182,90555,Plant
566,90556,Discover
683,90557,Shoulder
292,90558,Soldier
286,90559,Surface
12,90560,Carry
